date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
20181123,10:10,10:10 AM,1527.48,1526.3,1527.145,200,305429,3,1528.1,1524.466,1526.869,16479,25161279.1032,447,1527.32,1526.3,1525.567,1525.995,0.006531618371577299,0.006218396462973932
20181123,10:11,10:11 AM,-1,-1,-1,0,0,0,1526.52,1518.8,1521.253,23281,35416284.3314,504,,,1526.52,1519.34,,0.0025174093353709432
20181123,10:12,10:12 AM,-1,-1,-1,0,0,0,1522.259,1518,1520.517,13070,19873158.3171,346,,,1519.5,1519.1,,0.002032379683320489
20181123,10:13,10:13 AM,1520.93,1519.015,1520.356,95,144433.8,3,1521.459,1518.4,1519.809,10179,15470140.7433,321,1520.93,1520.28,1519.654,1519.749,0.0020570313761547124,0.0015658022462935605
20181123,10:14,10:14 AM,1522.7,1521.085,1522.305,222,337951.84,6,1523.235,1519.29,1521.95,12049,18337979.8222,327,1521.085,1522.7,1519.82,1522.86,0.0033416049590209588,0.0029767376879243123
20181123,10:15,10:15 AM,1520.93,1520.93,1520.93,1,1520.93,1,1523.65,1518.85,1520.84,10655,16204551.1749,311,1520.93,1520.93,1522.287,1520,0.0024353511486356195,0.002245239163771926
20181123,10:16,10:16 AM,1522.06,1520.71,1521.132,200,304226.5,4,1522.683,1519.71,1521.394,11001,16736854.3322,211,1520.71,1522.06,1520.715,1520.5,0.002568488072052228,0.002610329418168718
20181123,10:17,10:17 AM,1519.91,1518.97,1519.44,200,303888,2,1521.018,1518.5,1519.502,9801,14892638.6298,218,1519.91,1518.97,1520.95,1519.51,0.0014533015650180457,0.0013634868887126878
20181123,10:18,10:18 AM,-1,-1,-1,0,0,0,1543.85,1517.403,1518.829,14233,21617496.7311,350,,,1519.588,1520.07,,0.00091997472046539
20181123,10:19,10:19 AM,1519.885,1519,1519.681,130,197558.5,2,1520.5,1518,1519.19,7728,11740300.609,194,1519.885,1519,1520.36,1519.63,0.0016121431419655757,0.0011578764927348106
20181123,10:20,10:20 AM,1521.36,1519.895,1520.747,301,457744.895,4,1521.75,1518.723,1520.354,15692,23857397.3127,301,1520.42,1519.895,1519.397,1520.635,0.002314737005144339,0.0019249614315755945
20181123,10:21,10:21 AM,1517.49,1517.48,1517.489,106,160853.88,3,1521.407,1516.51,1518.202,13291,20178419.7547,384,1517.48,1517.49,1521,1517.449,0.0001674097947912702,0.000506776905471283
20181123,10:22,10:22 AM,1517.47,1517.315,1517.345,300,455203.5,3,1519.5,1516.643,1518.342,14733,22369727.5034,269,1517.315,1517.34,1517.07,1516.643,0.00007250030483091106,0.0005990379805896573
