date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-08-15,334,335,328.32,333.63,3897928,3897928,0.42,0.126,331.8424,"Aug 15, 14",-0.1251802711277762
2014-08-18,335.48,337.8,333.77,334.53,2488186,2488186,0.9,0.27,335.519,"Aug 18, 14",-0.12282035818234269
2014-08-19,334.87,335.81,333.01,335.13,1714120,1714120,0.6,0.179,334.5234,"Aug 19, 14",-0.12124708288538692
2014-08-20,334.68,337.16,334.022,335.78,1811462,1811462,0.65,0.194,335.7626,"Aug 20, 14",-0.11954270131368495
2014-08-21,336.48,336.582,332.23,332.91,1975792,1975792,-2.87,-0.855,333.5704,"Aug 21, 14",-0.12706820148412298
2014-08-22,332.99,334.08,330.8,331.59,2212965,2212965,-1.32,-0.397,331.9832,"Aug 22, 14",-0.13052940713742567
2014-08-25,333.21,336.77,332.71,334.02,1960978,1960978,2.43,0.733,334.6795,"Aug 25, 14",-0.12415764218475502
2014-08-26,337,344.36,334.55,341.83,3654702,3654702,7.81,2.338,340.6695,"Aug 26, 14",-0.1036788420693815
2014-08-27,342.09,346.67,341.34,343.18,2961767,2961767,1.35,0.395,343.5497,"Aug 27, 14",-0.10013897265123108
2014-08-28,340,341.79,338.8,340.02,2254725,2254725,-3.16,-0.921,340.0435,"Aug 28, 14",-0.1084248892151979
2014-08-29,341.76,341.8199,337.68,339.04,1939848,1939848,-0.98,-0.288,339.4334,"Aug 29, 14",-0.11099457220022546
2014-09-02,339.98,342.5,337.1587,342.38,2328881,2328881,3.34,0.985,340.051,"Sep 2, 14",-0.10223667304717206
2014-09-03,342.54,343.27,337.55,339,1998540,1998540,-3.38,-0.987,339.5039,"Sep 3, 14",-0.11109945722002255
2014-09-04,343.69,349.38,343.58,345.95,3965557,3965557,6.95,2.05,347.0108,"Sep 4, 14",-0.09287568503028559
2014-09-05,346.3,346.827,342.5,346.38,2111220,2111220,0.43,0.124,345.106,"Sep 5, 14",-0.09174817106746731
2014-09-08,344.54,345.81,339.04,342.34,2960693,2960693,-4.04,-1.166,341.9191,"Sep 8, 14",-0.10234155806696917
2014-09-09,341.61,341.76,329.18,329.75,4646832,4646832,-12.59,-3.678,334.0058,"Sep 9, 14",-0.1353541180480898
2014-09-10,334.3,334.98,328.82,331.33,3798904,3798904,1.58,0.479,331.4235,"Sep 10, 14",-0.13121115976610645
2014-09-11,329.94,333.01,326.39,330.52,2721893,2721893,-0.81,-0.244,329.5007,"Sep 11, 14",-0.13333508141699668
2014-09-12,329.56,332.89,328.79,331.19,3429727,3429727,0.67,0.203,330.7065,"Sep 12, 14",-0.13157825733539608
2014-09-15,330.91,331.33,319,323.89,4006918,4006918,-7.3,-2.204,323.1976,"Sep 15, 14",-0.1507197734483573
2014-09-16,321.07,329.48,320.1,327.76,3265860,3265860,3.87,1.195,325.9303,"Sep 16, 14",-0.14057214778299293
2014-09-17,327.76,328,321.52,324,4138950,4138950,-3.76,-1.147,324.6187,"Sep 17, 14",-0.15043133964391536
2014-09-18,325.44,327.1,323.7105,325,2577706,2577706,1,0.309,325.4662,"Sep 18, 14",-0.14780921414898918
2014-09-19,327.6,332.7559,325.57,331.32,6886382,6886382,6.32,1.945,329.9336,"Sep 19, 14",-0.1312373810210557
2014-09-22,328.49,329.49,321.06,324.5,3118649,3118649,-6.82,-2.058,323.6442,"Sep 22, 14",-0.14912027689645227
2014-09-23,322.46,327.6,321.25,323.63,2353590,2353590,-0.87,-0.268,324.5296,"Sep 23, 14",-0.15140152607703808
2014-09-24,324.17,329.44,319.56,328.21,2647232,2647232,4.58,1.415,325.2534,"Sep 24, 14",-0.13939219131027616
2014-09-25,327.99,328.54,321.4,321.93,2934944,2934944,-6.28,-1.913,323.2434,"Sep 25, 14",-0.15585913941841256
2014-09-26,320.6,323.5,317.64,323.21,3639155,3639155,1.28,0.398,320.641,"Sep 26, 14",-0.1525028187849071
2014-09-29,320.5,323.75,319,321.82,1929589,1929589,-1.39,-0.43,321.4798,"Sep 29, 14",-0.15614757322285447
2014-09-30,321.36,323.43,318.51,322.44,2639967,2639967,0.62,0.193,321.7056,"Sep 30, 14",-0.15452185541600022
2014-10-01,322.04,322.165,315.55,317.46,3096735,3096735,-4.98,-1.544,317.8827,"Oct 1, 14",-0.16758004038073268
2014-10-02,316.92,318.53,311.31,318.41,3553944,3553944,0.95,0.299,315.1613,"Oct 2, 14",-0.16508902116055268
2014-10-03,320.36,325.16,319.53,322.74,3037891,3037891,4.33,1.36,322.9313,"Oct 3, 14",-0.15373521776752233
2014-10-06,323.5,324.13,319.6,322.2,2294194,2294194,-0.54,-0.167,321.7608,"Oct 6, 14",-0.15515116553478253
2014-10-07,319.43,322,316.67,316.98,2365698,2365698,-5.22,-1.62,319.0016,"Oct 7, 14",-0.16883866061829716
2014-10-08,316.58,324.11,314.14,322.7,3458960,3458960,5.72,1.805,319.2379,"Oct 8, 14",-0.15384010278731944
2014-10-09,321.49,322.271,314.52,315.37,3589464,3589464,-7.33,-2.271,317.7645,"Oct 9, 14",-0.17306028266512835
