date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-04-03,1016.15,1025,997.245,1018.68,2566146,2566146,6.05,0.597,1012.18,"Apr 3, 18",-0.10931188248666616
2018-04-04,998.23,1032.74,996.51,1029.71,2536198,2536198,11.03,1.083,1012.83,"Apr 4, 18",-0.09966774503803445
2018-04-05,1046.39,1046.71,1024,1032.64,1791761,1791761,2.93,0.285,1036.41,"Apr 5, 18",-0.0971058844102474
2018-04-06,1023.1,1036,1006.25,1009.95,2006683,2006683,-22.69,-2.197,1017.9,"Apr 6, 18",-0.11694500306024307
2018-04-09,1020.04,1044.59,1019.2,1020.09,1661012,1661012,10.14,1.004,1029.64,"Apr 9, 18",-0.10807904170674129
2018-04-10,1030.26,1041.21,1015.41,1036.5,1836678,1836678,16.41,1.609,1028.76,"Apr 10, 18",-0.09373087348080794
2018-04-11,1032,1035.87,1019.2,1025.06,1703015,1703015,-11.44,-1.104,1027.04,"Apr 11, 18",-0.10373349654629718
2018-04-12,1031.47,1044.65,1026.05,1037.29,1644794,1644794,12.23,1.193,1038.37,"Apr 12, 18",-0.09304013290198486
2018-04-13,1046.89,1052.98,1030.15,1036.04,1270461,1270461,-1.25,-0.121,1040.34,"Apr 13, 18",-0.0941330768558189
2018-04-16,1045.55,1051.43,1033.92,1046.1,1488822,1488822,10.06,0.971,1044.48,"Apr 16, 18",-0.08533706391536254
2018-04-17,1061.2,1085,1057.09,1079.36,2729197,2729197,33.26,3.179,1076.88,"Apr 17, 18",-0.05625601119174621
2018-04-18,1079.01,1082,1070.52,1075.39,1556298,1556298,-3.97,-0.368,1076.63,"Apr 18, 18",-0.059727201189122975
2018-04-19,1069.02,1097.51,1069.02,1089.45,1994247,1994247,14.06,1.307,1086.1,"Apr 19, 18",-0.047433767596397655
2018-04-20,1084.27,1094.75,1072.1,1077.32,2121692,2121692,-12.13,-1.113,1082,"Apr 20, 18",-0.058039695724403345
2018-04-23,1082.98,1088,1066.68,1073.81,3479496,3479496,-3.51,-0.326,1077.43,"Apr 23, 18",-0.06110868234676934
2018-04-24,1059.2,1064.49,1012.86,1022.64,6411038,6411038,-51.17,-4.765,1030.59,"Apr 24, 18",-0.10584943604091987
2018-04-25,1029.75,1036.07,1017.01,1022.99,2893047,2893047,0.35,0.034,1026.5,"Apr 25, 18",-0.10554341173384632
2018-04-26,1033.22,1052.02,1020.45,1043.31,2546332,2546332,20.32,1.986,1040.25,"Apr 26, 18",-0.0877765148203201
2018-04-27,1045.54,1051.69,1027.59,1031.45,2037263,2037263,-11.86,-1.137,1035.76,"Apr 27, 18",-0.09814636705429745
2018-04-30,1034.42,1038.37,1018.3,1018.58,1724632,1724632,-12.87,-1.248,1025.09,"Apr 30, 18",-0.10939931800297281
2018-05-01,1016.3,1041.73,1010.61,1040.75,1766256,1766256,22.17,2.177,1028.76,"May 1, 18",-0.09001486403777217
2018-05-02,1034,1043.98,1023.16,1026.05,1734872,1734872,-14.7,-1.412,1032.21,"May 2, 18",-0.10286788493486061
2018-05-03,1025.37,1030.69,1007.89,1026.3,1964066,1964066,0.25,0.024,1020.82,"May 3, 18",-0.10264929614409381
2018-05-04,1019.61,1051.88,1018.05,1051,1844600,1844600,24.7,2.407,1042.58,"May 4, 18",-0.08105272361633299
2018-05-07,1053.89,1065,1050.27,1059.46,1719971,1719971,8.46,0.805,1060.03,"May 7, 18",-0.07365567893678412
