date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
20181123,10:11,10:11 AM,260,258.91,259.438,1250,324297.5,16,260.11,258.36,258.99,78548,20343139.0685,892,260,259.02,260,258.622,-0.00224596380306283,-0.005109096496619484
20181123,10:12,10:12 AM,259.36,258.06,258.445,795,205463.735,10,259.53,258.02,258.788,49761,12877540.666,596,259.36,258.09,258.597,258.386,-0.006064871433955582,-0.005885064535955679
20181123,10:13,10:13 AM,258.465,257,257.701,1576,406137.06,21,258.9,256.84,257.669,82516,21261849.536,1002,258.36,257.79,258.43,258.15,-0.008926167785802623,-0.010183620159803359
20181123,10:14,10:14 AM,258.395,258.225,258.31,200,51662,2,258.65,257.92,258.272,37009,9558376.4427,393,258.225,258.395,257.95,258.39,-0.006584058271992328,-0.007867240319606646
20181123,10:15,10:15 AM,258.775,257.095,258.13,1811,467473.615,26,258.94,257,257.911,88246,22759614.3643,898,258.39,257.095,258.33,257.28,-0.00727630738937473,-0.009253995082974769
20181123,10:16,10:16 AM,258,257.31,257.741,400,103096.5,4,258.55,257.25,257.743,21692,5590962.7265,335,257.31,258,257.55,258.14,-0.00877233464860668,-0.009899354640442526
20181123,10:17,10:17 AM,257.745,257.64,257.703,300,77311,3,258.14,257.33,257.637,19682,5070811.2472,285,257.725,257.745,258.077,257.704,-0.008918476128943,-0.010306545789797145
20181123,10:18,10:18 AM,258.39,257.61,257.884,300,77365.11,5,258.55,257.5,257.986,17609,4542877.8405,225,257.695,258.39,257.715,258.478,-0.008222381183130569,-0.008965888137676717
20181123,10:19,10:19 AM,258.49,257.995,258.179,702,181241.8,8,258.55,257.93,258.152,22071,5697665.125,308,258.12,258.02,258.45,258.045,-0.007087861796309611,-0.008328211432083614
20181123,10:20,10:20 AM,258.205,257.945,258.098,1075,277455.25,11,258.325,257.74,258.103,31068,8018734.9877,302,258.055,258.1,258.13,258.325,-0.007399373899131529,-0.008516441303011619
20181123,10:21,10:21 AM,257.99,257.685,257.816,928,239253.44,9,258.4,257.5,257.845,27864,7184603.8577,298,257.96,257.785,258.341,257.845,-0.008483897516364067,-0.009507529194836993
20181123,10:22,10:22 AM,258.325,257.74,257.906,2130,549340.25,18,258.5,257.64,258.006,42412,10942535.5145,345,257.74,258,257.85,258.323,-0.008137772957672757,-0.00888905961893063
20181123,10:23,10:23 AM,258.4,258.17,258.266,700,180786,7,258.5,258.09,258.278,12369,3194645.6707,214,258.21,258.215,258.14,258.217,-0.006753274722907953,-0.007844191763982688
20181123,10:24,10:24 AM,258.69,258.25,258.445,505,130514.6,6,258.8,258.094,258.426,16896,4366366.8136,251,258.25,258.69,258.25,258.8,-0.006064871433955582,-0.007275660725261238
20181123,10:25,10:25 AM,259.24,259.025,259.159,859,222617.74,7,259.45,258.6,259.077,37356,9678076.0579,335,259.025,259.16,258.6,259.328,-0.003318949935005498,-0.004774892440073736
20181123,10:26,10:26 AM,259.44,258.845,259.154,502,130095.52,6,259.712,258.681,259.565,104507,27126388.4814,359,259.44,258.845,259.3,259.09,-0.003338179077154991,-0.0029002765826674688
20181123,10:27,10:27 AM,259.32,258.81,259.205,1368,354593.11,12,259.346,258.77,259.139,18161,4706222.5861,267,258.81,259.3,258.979,259.055,-0.003142041827230032,-0.004536724031960599
20181123,10:28,10:28 AM,259.33,258.97,259.116,500,129558,5,259.44,258.85,259.123,17558,4549684.3593,196,258.985,259.22,259.3,259.35,-0.003484320557491312,-0.004598186846957601
20181123,10:29,10:29 AM,259.2,259,259.101,700,181370.5,7,259.355,258.79,259.106,14863,3851090.0586,215,259.145,259.105,259.22,258.9,-0.003542007983939791,-0.00466349108789182
20181123,10:30,10:30 AM,259.6,259.085,259.354,816,211632.88,9,259.7,258.953,259.422,17335,4497073.6406,196,259.085,259.305,259.09,259.15,-0.0025690133911746176,-0.003449600491702396
20181123,10:31,10:31 AM,259.31,258.52,258.934,1394,360953.84,11,259.31,258.5,258.774,31568,8168988.3032,336,259.26,258.65,259.15,258.644,-0.004184261331733336,-0.0059388444990780285
20181123,10:32,10:32 AM,258.92,258.765,258.85,499,129166.12,7,259.18,258.62,258.821,16240,4203251.0154,271,258.88,258.85,258.71,258.974,-0.004507310919845123,-0.005758297480024458
20181123,10:33,10:33 AM,259.28,259.02,259.204,1100,285124,11,259.4,258.84,259.182,30329,7860738.0523,280,259.02,259.16,259.07,258.95,-0.003145887655659843,-0.004371542716656334
20181123,10:34,10:34 AM,259.31,259.12,259.238,600,155543,6,259.44,258.95,259.24,13385,3469935.1206,128,259.12,259.26,259.172,259.27,-0.0030151294890432036,-0.004148740012292502
20181123,10:35,10:35 AM,259.74,259.5,259.604,300,77881.25,4,259.85,259.16,259.59,17386,4513236.5576,207,259.74,259.5,259.26,259.52,-0.0016075562836990961,-0.002804240934234858
20181123,10:36,10:36 AM,259.52,259.515,259.517,200,51903.5,2,259.772,259.01,259.504,15353,3984166.1827,154,259.52,259.515,259.408,259.465,-0.0019421433571005357,-0.00313460356484317
20181123,10:37,10:37 AM,259.235,259.085,259.16,200,51832,2,259.46,259.01,259.18,9733,2522598.6599,126,259.085,259.235,259.16,259.25,-0.003315104106575468,-0.004379225568530987
20181123,10:38,10:38 AM,259.4,259.3,259.344,225,58352.5,3,259.51,259.13,259.423,10745,2787503.0472,110,259.4,259.3,259.48,259.21,-0.0026074716754736034,-0.003445759065765179
20181123,10:39,10:39 AM,259.08,258.485,258.878,300,77663.5,3,259.31,258.44,258.77,35520,9191507.9825,400,259.08,258.485,259.21,258.57,-0.004399627723808006,-0.005954210202827334
20181123,10:40,10:40 AM,258.135,258,258.087,300,77426,3,258.52,257.8,258.129,21873,5646053.1051,302,258.125,258,258.52,257.87,-0.007441678011860544,-0.008416564228641572
20181123,10:41,10:41 AM,258.3,257.985,258.142,200,51628.5,2,258.498,257.667,258.032,14791,3816555.2729,206,257.985,258.3,257.87,258.21,-0.007230157448215903,-0.008789182544560584
20181123,10:42,10:42 AM,258.17,258.03,258.1,200,51620,2,258.48,257.89,258.168,12289,3172631.1754,125,258.03,258.17,258.18,258.245,-0.007391682242271687,-0.008266748617086612
20181123,10:43,10:43 AM,258.365,257.715,258.067,400,103227,4,258.475,257.65,257.937,27266,7032905.7039,209,258.365,257.715,258.13,257.98,-0.007518594580458515,-0.009154118008604722
20181123,10:44,10:44 AM,258.045,257.76,257.905,500,128952.5,5,258.3,257.55,257.953,14636,3775406.4628,166,257.76,258.045,258,258.144,-0.008141618786102787,-0.009092655193607939
20181123,10:45,10:45 AM,257.59,257.5,257.56,150,38634,2,258.117,257.45,257.665,20803,5360198.4508,225,257.59,257.5,258,257.68,-0.009468429594418891,-0.010198985863552446
20181123,10:46,10:46 AM,258.105,257.815,257.938,235,60615.525,4,258.25,257.63,257.999,6455,1665382.4062,103,257.815,258.105,257.74,258.054,-0.008014706447915958,-0.008915949600491586
20181123,10:47,10:47 AM,258.3,258.11,258.214,500,129107,3,258.38,257.99,258.228,7916,2044129.782,141,258.3,258.11,258.093,258.229,-0.006953257801262942,-0.008036263060848127
20181123,10:48,10:48 AM,258.5,258.105,258.27,504,130167.96,6,258.53,257.995,258.257,18379,4746500.1788,200,258.105,258.13,258.15,258.06,-0.006737891409188491,-0.00792486170866621
20181123,10:49,10:49 AM,258.09,257.94,258.025,400,103210,4,258.235,257.81,258.029,11605,2994422.8296,156,257.98,258.09,258.075,258.098,-0.007680119374514518,-0.008800706822372453
20181123,10:50,10:50 AM,258.44,258.225,258.332,200,51666.5,2,260.8,257.972,258.856,14044,3635379.7404,170,258.225,258.44,258.16,258.63,-0.006499450046534515,-0.005623847572218802
20181123,10:51,10:51 AM,259.11,258.445,258.785,500,129392.5,5,259.18,258.4,258.818,20765,5374357.7504,255,258.635,259.11,258.534,259.12,-0.00475728976778875,-0.005769821757836546
20181123,10:52,10:52 AM,259.27,259.09,259.18,702,181944.44,10,259.37,258.98,259.171,22429,5812935.185,231,259.09,259.13,259.103,259.18,-0.0032381875379774963,-0.004413798401966814
20181123,10:53,10:53 AM,259.28,258.87,259.029,400,103611.5,4,259.48,258.87,259.221,15843,4106834.531,211,259.28,258.975,259.24,258.93,-0.0038189076308927515,-0.0042217271051013736
20181123,10:54,10:54 AM,259.56,259.35,259.435,343,88986.08,5,259.65,258.81,259.32,19892,5158403.0993,229,259.35,259.56,258.94,259.57,-0.002257501288352482,-0.0038414259373079286
20181123,10:55,10:55 AM,259.665,259.51,259.597,2200,571113.5,20,259.85,259.412,259.646,25739,6683040.3312,285,259.625,259.63,259.59,259.84,-0.00163447708270843,-0.00258912108174546
20181123,10:56,10:56 AM,259.715,259.53,259.604,909,235980.13,10,259.83,259.46,259.67,24659,6403202.7472,247,259.68,259.57,259.66,259.57,-0.0016075562836990961,-0.0024969268592500665
20181123,10:57,10:57 AM,259.35,259.315,259.32,234,60680.9,3,259.73,259.202,259.475,15079,3912620.551,185,259.35,259.315,259.64,259.73,-0.002699771557791257,-0.0032460049170250863
20181123,10:58,10:58 AM,260.08,259.71,259.837,1905,494989.05,14,260.11,259.63,259.849,38816,10086310.4219,386,259.71,259.77,259.64,259.78,-0.0007114782595318945,-0.0018093116164720484
20181123,10:59,10:59 AM,259.79,259.53,259.668,576,149568.78,7,259.94,259.342,259.699,16765,4353846.8726,176,259.79,259.78,259.695,259.755,-0.0013614232641852805,-0.0023855255070681504
20181123,11:00,11 AM,259.98,259.63,259.736,1000,259736,10,259.98,259.5,259.72,24173,6278219.772,205,259.95,259.635,259.67,259.56,-0.0010999069309520016,-0.0023048555623846265
20181123,11:01,11:01 AM,260.18,259.6,259.733,570,148047.8,8,260.34,259.53,259.921,41332,10743040.3827,336,259.6,260.18,259.54,260.101,-0.0011114444162416536,-0.001532728948985867
20181123,11:02,11:02 AM,260.32,260.28,260.297,1000,260297,6,260.5,260.11,260.365,25588,6662213.9878,241,260.29,260.32,260.204,260.365,0.0010576028182232046,0.00017286416717891793
20181123,11:03,11:03 AM,260.41,260.29,260.35,282,73418.73,3,260.44,260.18,260.313,24113,6276934.8543,276,260.34,260.29,260.33,260.33,0.0012614317250080047,-0.000026889981561174716
20181123,11:04,11:04 AM,260.61,260.35,260.417,2189,570053.865,32,260.8,260.223,260.429,38001,9896563.4849,433,260.39,260.35,260.35,260.45,0.0015191022298112538,0.00041871542716648914
20181123,11:05,11:05 AM,260.5,260.27,260.376,856,222881.54,15,260.606,260.19,260.369,25960,6759169.1563,285,260.355,260.27,260.35,260.47,0.0013614232641852805,0.00018822987092822303
20181123,11:06,11:06 AM,260.5,260.32,260.444,409,106521.78,5,260.65,260.26,260.424,17716,4613675.8114,268,260.32,260.475,260.325,260.31,0.001622939597418778,0.00039950829747996695
20181123,11:07,11:07 AM,-1,-1,-1,0,0,0,260.74,260.35,260.561,11764,3065242.0967,111,,,260.5,260.67,,0.0009257836508911549
20181123,11:08,11:08 AM,260.73,260.64,260.692,1493,389213.32,21,260.78,260.55,260.67,17341,4520278.8101,208,260.66,260.69,260.67,260.72,0.0025767050480344582,0.0013444990780578623
20181123,11:09,11:09 AM,260.81,260.72,260.778,1263,329362.765,21,261.05,260.6,260.833,26366,6877117.5457,260,260.8,260.8,260.75,260.915,0.0029074462930060866,0.0019706515058390967
20181123,11:10,11:10 AM,261.03,261.01,261.016,100,26101.58,2,261.44,260.83,261.164,33810,8829958.8204,320,261.03,261.01,260.94,261.23,0.003822753459322781,0.0032421634910878693
20181123,11:11,11:11 AM,261.29,260.715,260.914,550,143502.5,6,261.31,260.52,261.069,26473,6911284.5412,194,261.29,260.95,261.21,260.87,0.0034304789594726444,0.0028772280270437296
20181123,11:12,11:12 AM,260.77,260.68,260.755,600,156453,10,260.92,260.56,260.698,18258,4759827.0523,153,260.77,260.68,260.89,260.709,0.0028189922391182445,0.0014520590043023429
20181123,11:13,11:13 AM,260.59,259.8,260.29,501,130405.39,5,260.807,259.79,260.155,34257,8912143.6813,329,260.57,260.09,260.76,260.075,0.0010306820192138707,-0.0006338352796558869
20181123,11:14,11:14 AM,259.9,259.42,259.703,830,215553.875,9,260.22,259.06,259.597,24750,6425030.5095,238,259.77,259.42,259.96,259.27,-0.00122681926913883,-0.002777350952673683
20181123,11:15,11:15 AM,259.15,259.15,259.15,100,25915,1,259.9,258.99,259.574,18263,4740608.1976,198,259.15,259.15,259.28,259.76,-0.0033535623908746725,-0.0028657037492316414
20181123,11:16,11:16 AM,259.7,259.68,259.69,200,51938,2,259.81,259.45,259.622,13494,3503341.48,132,259.68,259.7,259.74,259.81,-0.0012768150387274678,-0.002681315304240854
20181123,11:17,11:17 AM,260.6,260.1,260.35,200,52070,2,260.78,259.68,260.172,24519,6379159.6962,202,260.1,260.6,259.81,260.25,0.0012614317250080047,-0.0005685310387214494
